panId,iRms,created
0013A20040B09A44,0.05,2016-12-10T19:58:31.598Z
0013A20040B09A44,0.05,2016-12-10T19:58:41.898Z
0013A20040B09A44,0.05,2016-12-10T19:58:52.201Z
0013A20040B09A44,0.05,2016-12-10T19:59:02.499Z
0013A20040B09A44,0.05,2016-12-10T19:59:12.800Z
0013A20040B09A44,0.05,2016-12-10T19:59:23.097Z
0013A20040B09A44,0.05,2016-12-10T19:59:33.397Z
0013A20040B09A44,0.05,2016-12-10T19:59:43.700Z
0013A20040B09A44,0.04,2016-12-10T19:59:53.999Z
0013A20040B09A44,0.05,2016-12-10T20:00:04.300Z
0013A20040B09A44,0.05,2016-12-10T20:00:14.599Z
0013A20040B09A44,0.05,2016-12-10T20:00:24.903Z
0013A20040B09A44,0.04,2016-12-10T20:00:35.202Z
0013A20040B09A44,0.05,2016-12-10T20:00:45.499Z
0013A20040B09A44,0.05,2016-12-10T20:00:57.370Z
0013A20040B09A44,0.05,2016-12-10T20:01:06.103Z
0013A20040B09A44,0.05,2016-12-10T20:01:16.402Z
0013A20040B09A44,0.05,2016-12-10T20:01:26.705Z
0013A20040B09A44,0.04,2016-12-10T20:01:37.003Z
0013A20040B09A44,0.05,2016-12-10T20:01:47.305Z
0013A20040B09A44,0.05,2016-12-10T20:01:57.601Z
0013A20040B09A44,0.05,2016-12-10T20:02:07.901Z
0013A20040B09A44,0.05,2016-12-10T20:02:18.203Z
0013A20040B09A44,0.05,2016-12-10T20:02:28.505Z
0013A20040B09A44,0.04,2016-12-10T20:02:38.804Z
0013A20040B09A44,0.04,2016-12-10T20:02:49.106Z
0013A20040B09A44,0.04,2016-12-10T20:02:59.412Z
0013A20040B09A44,0.04,2016-12-10T20:03:09.703Z
0013A20040B09A44,0.05,2016-12-10T20:03:20.004Z
0013A20040B09A44,0.05,2016-12-10T20:03:30.306Z
0013A20040B09A44,1.65,2016-12-10T20:03:40.591Z
0013A20040B09A44,1.66,2016-12-10T20:03:50.874Z
0013A20040B09A44,1.66,2016-12-10T20:04:01.162Z
0013A20040B09A44,1.65,2016-12-10T20:04:11.446Z
0013A20040B09A44,1.65,2016-12-10T20:04:21.729Z
0013A20040B09A44,1.65,2016-12-10T20:04:32.011Z
0013A20040B09A44,1.64,2016-12-10T20:04:42.305Z
0013A20040B09A44,0.09,2016-12-10T20:04:52.589Z
0013A20040B09A44,0.05,2016-12-10T20:05:02.888Z
0013A20040B09A44,0.04,2016-12-10T20:05:13.187Z
0013A20040B09A44,0.05,2016-12-10T20:05:23.493Z
0013A20040B09A44,0.05,2016-12-10T20:05:33.785Z
0013A20040B09A44,0.05,2016-12-10T20:05:44.089Z
0013A20040B09A44,0.05,2016-12-10T20:05:54.386Z
0013A20040B09A44,0.05,2016-12-10T20:06:04.689Z
0013A20040B09A44,11.03,2016-12-10T20:06:14.970Z
0013A20040B09A44,1.65,2016-12-10T20:06:25.257Z
0013A20040B09A44,1.65,2016-12-10T20:06:35.542Z
0013A20040B09A44,1.78,2016-12-10T20:06:45.825Z
0013A20040B09A44,1.65,2016-12-10T20:06:56.109Z
0013A20040B09A44,1.75,2016-12-10T20:07:06.392Z
0013A20040B09A44,1.66,2016-12-10T20:07:18.244Z
0013A20040B09A44,1.65,2016-12-10T20:07:26.971Z
0013A20040B09A44,1.65,2016-12-10T20:07:37.248Z
0013A20040B09A44,1.66,2016-12-10T20:07:47.529Z
0013A20040B09A44,1.64,2016-12-10T20:07:58.747Z
0013A20040B09A44,0.09,2016-12-10T20:08:08.183Z
0013A20040B09A44,0.09,2016-12-10T20:08:09.676Z
0013A20040B09A44,0.09,2016-12-10T20:08:11.293Z
0013A20040B09A44,0.05,2016-12-10T20:08:21.539Z
0013A20040B09A44,0.05,2016-12-10T20:08:50.877Z
0013A20040B09A44,0.04,2016-12-10T20:08:59.726Z
0013A20040B09A44,0.05,2016-12-10T20:09:09.915Z
0013A20040B09A44,0.04,2016-12-10T20:09:21.781Z
0013A20040B09A44,0.05,2016-12-10T20:09:30.613Z
0013A20040B09A44,0.05,2016-12-10T20:09:40.805Z
0013A20040B09A44,0.05,2016-12-10T20:09:51.109Z
0013A20040B09A44,1.77,2016-12-10T20:10:01.389Z
0013A20040B09A44,1.66,2016-12-10T20:10:11.677Z
0013A20040B09A44,1.65,2016-12-10T20:10:21.961Z
0013A20040B09A44,1.65,2016-12-10T20:10:32.249Z
0013A20040B09A44,1.77,2016-12-10T20:10:42.527Z
0013A20040B09A44,1.64,2016-12-10T20:10:52.813Z
0013A20040B09A44,1.65,2016-12-10T20:11:03.106Z
0013A20040B09A44,1.66,2016-12-10T20:11:13.383Z
0013A20040B09A44,0.07,2016-12-10T20:11:23.677Z
0013A20040B09A44,0.05,2016-12-10T20:11:33.981Z
0013A20040B09A44,0.04,2016-12-10T20:11:44.273Z
0013A20040B09A44,0.05,2016-12-10T20:11:54.575Z
0013A20040B09A44,0.05,2016-12-10T20:12:04.877Z
0013A20040B09A44,0.05,2016-12-10T20:12:15.177Z
0013A20040B09A44,0.05,2016-12-10T20:12:25.477Z
0013A20040B09A44,0.05,2016-12-10T20:12:35.777Z
0013A20040B09A44,0.04,2016-12-10T20:12:46.077Z
0013A20040B09A44,0.05,2016-12-10T20:12:56.385Z
0013A20040B09A44,0.05,2016-12-10T20:13:06.682Z
0013A20040B09A44,0.04,2016-12-10T20:13:16.981Z
0013A20040B09A44,0.05,2016-12-10T20:13:27.419Z
0013A20040B09A44,0.05,2016-12-10T20:13:37.579Z
0013A20040B09A44,0.04,2016-12-10T20:13:47.881Z
0013A20040B09A44,0.05,2016-12-10T20:13:58.181Z
0013A20040B09A44,0.05,2016-12-10T20:14:08.485Z
0013A20040B09A44,0.05,2016-12-10T20:14:18.782Z
0013A20040B09A44,0.05,2016-12-10T20:14:29.081Z
0013A20040B09A44,0.05,2016-12-10T20:14:39.381Z
0013A20040B09A44,0.04,2016-12-10T20:14:49.681Z
0013A20040B09A44,0.04,2016-12-10T20:14:59.993Z
0013A20040B09A44,0.05,2016-12-10T20:15:10.283Z
0013A20040B09A44,0.05,2016-12-10T20:15:20.585Z
0013A20040B09A44,0.04,2016-12-10T20:15:30.885Z
0013A20040B09A44,0.05,2016-12-10T20:15:41.182Z
0013A20040B09A44,0.05,2016-12-10T20:15:51.485Z
0013A20040B09A44,0.05,2016-12-10T20:16:01.784Z
0013A20040B09A44,0.05,2016-12-10T20:16:12.084Z
0013A20040B09A44,0.04,2016-12-10T20:16:22.385Z
0013A20040B09A44,1.66,2016-12-10T20:16:32.668Z
